Date,aus,can,rsa,ger,fra,ned
2007-05-07,17.397299,23.643105,49.306175,25.120314,28.752792,23.746265
2007-05-08,17.353569,23.618414,48.606472,24.804337,28.51474,23.448391
2007-05-09,17.647169,23.610188,48.976254,24.89123,28.589127,23.372004
2007-05-10,17.366062,23.371536,47.072887,24.251373,27.97167,22.829716
2007-05-11,17.628429,23.725397,48.530323,24.851734,28.544495,23.280354
2007-05-14,17.553469,23.643105,47.826988,24.646349,28.358509,23.112318
2007-05-15,17.528481,23.922903,47.471699,24.796438,28.51474,23.173424
2007-05-16,17.366062,23.972281,47.928501,24.883329,28.447779,23.074127
2007-05-17,17.484753,24.276768,46.902493,24.812235,28.34362,23.089407
2007-05-18,17.547222,24.466049,47.823368,25.230911,28.886698,23.280354
2007-05-21,17.490997,24.589483,47.997383,25.104515,28.685835,23.150511
2007-05-22,17.359819,24.4249,47.645718,25.19931,28.693274,23.287992
2007-05-23,17.459766,24.383751,48.301918,25.53109,28.812304,23.249805
2007-05-24,16.928787,24.23562,46.713974,25.167711,28.462654,22.959564
2007-05-25,17.272364,24.523653,47.493443,25.499491,28.685835,23.196335
2007-05-29,17.23488,24.531883,47.03664,25.554785,28.633766,23.173424
2007-05-30,17.228634,24.745842,46.949631,25.633781,28.693274,23.280354
2007-05-31,17.42853,24.770538,46.587082,26.12355,28.95365,23.37965
2007-06-01,17.609688,25.066793,47.272301,26.328938,29.117315,23.310902
2007-06-04,17.778349,25.132631,46.514568,26.328938,29.094995,23.486578
2007-06-05,17.803337,25.033876,45.771358,26.131449,28.834616,23.326183
2007-06-06,17.553469,24.712931,45.347176,25.436293,28.298994,22.98247
2007-06-07,17.434776,24.136869,44.245041,24.749041,27.510427,22.562387
2007-06-08,17.603443,24.400208,44.893993,24.899132,27.956785,22.837351
2007-06-11,17.709641,24.29323,45.281914,25.18351,28.053497,22.837351
2007-06-12,17.284859,24.161556,44.013012,24.835938,27.488117,22.470732
2007-06-13,17.503498,24.523653,44.890369,25.175615,28.075815,22.745697
2007-06-14,17.553469,24.795223,45.829369,25.586382,28.425461,22.936646
2007-06-15,17.803337,25.165546,46.692223,26.163046,28.708153,23.303267
2007-06-18,17.884544,25.231382,46.975006,26.34473,28.752792,23.333817
2007-06-19,18.109432,25.033876,47.312176,26.400028,28.789988,23.37965
2007-06-20,18.084444,24.671785,46.260796,26.005054,28.358509,23.013025
2007-06-21,18.128172,24.729389,46.78648,26.068253,28.566803,23.310902
2007-06-22,18.021978,24.548342,45.7351,25.87077,28.232044,23.112318
2007-06-25,18.146908,24.334373,45.242046,25.633781,28.098131,23.013025
2007-06-26,17.834572,23.988741,44.411812,25.633781,27.912151,22.921368
2007-06-27,17.490997,24.186247,45.249298,25.807566,28.224602,23.127596
2007-06-28,17.797092,24.482506,45.245655,25.973459,28.373386,23.127596
2007-06-29,17.784601,24.57303,45.401569,26.170946,28.566803,23.181059
2007-07-02,18.190641,24.877518,46.768364,26.431625,28.894135,23.517128
2007-07-03,18.128172,24.951582,46.525455,26.779207,29.080114,23.662247
2007-07-05,18.334318,25.132631,46.358685,26.8582,28.938772,23.608782
2007-07-06,18.396786,25.379513,47.130901,26.826603,29.236336,23.677523
2007-07-09,18.546703,25.428886,48.149658,26.968792,29.236336,23.807367
2007-07-10,18.315575,25.280758,46.873497,26.463226,28.767666,23.68516
